startSeconds,endSeconds,durationSeconds,gear,speedKph,throttlePct,rpm,fuelKgPerHour,fuelLitersPerHour,fuelLitersPerKm,scenario,targetSpeedKph
97.467,121.883,24.45,1,100.19,17.5,6202.0,18.01,24.02,0.2397,100 kph partial,100.0
205.383,292.683,87.3,2,99.97,17.1,4787.0,14.27,19.02,0.1903,100 kph partial,100.0
336.917,356.167,19.267,3,100.36,17.7,4095.0,13.77,18.36,0.183,100 kph partial,100.0
364.55,396.4,31.867,4,99.98,14.2,3536.0,11.55,15.4,0.1541,100 kph partial,100.0
396.433,422.533,26.117,5,100.07,12.3,3094.0,10.41,13.88,0.1387,100 kph partial,100.0
422.567,435.25,12.7,6,99.85,11.9,2765.0,10.21,13.62,0.1364,100 kph partial,100.0
800.883,811.917,11.05,3,119.65,20.8,4887.0,17.81,23.75,0.1985,120 kph partial,120.0
811.95,820.8,8.867,4,119.09,20.9,4217.0,16.24,21.65,0.1818,120 kph partial,120.0
820.833,828.833,8.017,5,120.95,21.1,3744.0,16.18,21.57,0.1783,120 kph partial,120.0
455.833,468.983,13.167,2,150.3,25.3,7204.0,31.75,42.33,0.2817,150 kph partial,150.0
469.017,491.45,22.45,3,149.85,26.2,6120.0,27.38,36.5,0.2436,150 kph partial,150.0
491.483,517.083,25.617,4,149.93,25.4,5308.0,25.55,34.06,0.2272,150 kph partial,150.0
521.233,543.1,21.867,5,149.81,30.0,4635.0,24.36,32.48,0.2168,150 kph partial,150.0
543.133,565.05,21.933,6,149.66,32.4,4150.0,24.24,32.33,0.216,150 kph partial,150.0
1516.25,1526.05,9.817,1,95.92,100.0,5958.0,82.4,109.87,1.1454,96 kph WOT,96.0
1526.083,1533.183,7.117,2,96.04,100.0,4608.0,58.0,77.33,0.8053,96 kph WOT,96.0
1533.217,1541.583,8.383,3,96.04,100.0,3929.0,47.9,63.86,0.665,96 kph WOT,96.0
1541.617,1551.283,9.683,4,96.04,100.0,3403.0,40.39,53.86,0.5608,96 kph WOT,96.0
1551.317,1559.783,8.483,5,96.06,100.0,2975.0,34.5,45.99,0.4788,96 kph WOT,96.0
1559.817,1565.85,6.05,6,96.06,100.0,2667.0,30.37,40.49,0.4215,96 kph WOT,96.0
