gear,throttleBand,throttleMidPct,sampleCount,durationSeconds,speedKph,rpm,fuelKgPerHour,fuelLitersPerKm
1,5-15%,10.0,1343,22.383,99.95,6167.0,11.55,0.1543
1,15-25%,20.0,6476,107.933,101.81,6312.0,20.58,0.2701
1,25-35%,30.0,405,6.75,94.87,5901.0,29.01,0.4075
1,65-80%,72.5,1256,20.933,126.56,7857.0,94.97,1.0008
1,95-100%,97.5,3344,55.733,108.3,6802.0,96.62,1.1794
2,5-15%,10.0,1139,18.983,103.53,4951.0,10.5,0.1365
2,15-25%,20.0,8225,137.083,108.6,5202.0,17.4,0.2103
2,25-35%,30.0,1023,17.05,154.26,7400.0,33.44,0.2899
2,65-80%,72.5,590,9.833,160.25,7709.0,94.84,0.79
2,95-100%,97.5,2738,45.633,134.72,6529.0,92.87,0.9058
3,5-15%,10.0,530,8.833,104.39,4254.0,9.67,0.1264
3,15-25%,20.0,2702,45.033,117.11,4781.0,17.21,0.1933
3,25-35%,30.0,1457,24.283,161.35,6592.0,30.45,0.2519
3,65-80%,72.5,543,9.05,190.25,7800.0,94.87,0.6657
3,95-100%,97.5,3917,65.283,162.85,6691.0,95.8,0.7716
4,5-15%,10.0,1328,22.133,104.77,3703.0,11.07,0.1435
4,15-25%,20.0,2481,41.35,140.35,4967.0,20.18,0.1894
4,25-35%,30.0,1365,22.75,171.2,6063.0,30.87,0.241
4,35-45%,40.0,590,9.833,195.18,6920.0,48.66,0.3324
4,65-80%,72.5,510,8.5,216.47,7699.0,94.72,0.5841
4,95-100%,97.5,5569,92.817,181.54,6461.0,92.17,0.6647
5,5-15%,10.0,1483,24.717,100.53,3108.0,10.23,0.136
5,15-25%,20.0,1599,26.65,162.51,5028.0,21.34,0.1756
5,25-35%,30.0,1487,24.783,161.08,4984.0,26.5,0.2184
5,35-45%,40.0,1008,16.8,200.0,6197.0,44.96,0.2975
5,45-55%,50.0,2318,38.633,226.98,7041.0,62.72,0.3665
5,55-65%,60.0,704,11.733,249.31,7739.0,79.01,0.4226
5,65-80%,72.5,751,12.517,246.65,7668.0,93.72,0.5072
5,95-100%,97.5,5079,84.65,189.63,5903.0,83.77,0.5704
6,5-15%,10.0,797,13.283,108.03,2990.0,10.15,0.1311
6,15-25%,20.0,1292,21.533,182.63,5060.0,17.45,0.1381
6,25-35%,30.0,1109,18.483,151.47,4200.0,24.04,0.2116
6,35-45%,40.0,857,14.283,187.96,5215.0,38.13,0.2691
6,45-55%,50.0,660,11.0,226.25,6286.0,57.75,0.3394
6,55-65%,60.0,1333,22.217,237.28,6597.0,70.16,0.3936
6,65-80%,72.5,568,9.467,255.89,7117.0,88.39,0.4596
6,95-100%,97.5,5901,98.35,225.93,6298.0,90.24,0.5204
